Type;BarType;Date;Symbol;Raw Symbol;Open;High;Low;Close;SettlementPrice;Volume;OpenInterest;Duration(ms);AdjustmentFactor;AdjustmentVolume
Bar;0;1999/10/01 13:30:00.000;E-MINI S&P;ESZ9^9;1524.070947215246;1526.4210951677753;1499.9819307018206;1519.9581882983196;1519.9581882983196;53650;23575;24300000;1.0;1.0
Bar;0;1999/10/04 13:30:00.000;E-MINI S&P;ESZ9^9;1520.545725286452;1550.5101116812004;1519.9581882983196;1549.628806199002;1549.628806199002;40394;23926;24300000;1.0;1.0
Bar;0;1999/10/05 13:30:00.000;E-MINI S&P;ESZ9^9;1549.628806199002;1564.31723090231;1523.7771787211798;1546.103584270208;1546.103584270208;51933;25146;24300000;1.0;1.0
Bar;0;1999/10/06 13:30:00.000;E-MINI S&P;ESZ9^9;1546.103584270208;1571.9552117480303;1542.2845938473479;1568.4299898192364;1568.4299898192364;58586;25837;24300000;1.0;1.0
Bar;0;1999/10/07 13:30:00.000;E-MINI S&P;ESZ9^9;1569.3112953014347;1575.480433676824;1556.3854815625236;1561.6733144557145;1561.6733144557145;52132;26811;24300000;1.0;1.0
Bar;0;1999/10/08 13:30:00.000;E-MINI S&P;ESZ9^9;1561.3795459616485;1584.293488498809;1549.0412692108696;1582.237109040346;1582.237109040346;59114;28425;24300000;1.0;1.0
Bar;0;1999/10/11 13:30:00.000;E-MINI S&P;ESZ9^9;1582.530877534412;1586.9374049454045;1576.949276147155;1582.8246460284781;1582.8246460284781;25693;18864;24300000;1.0;1.0
Bar;0;1999/10/12 13:30:00.000;E-MINI S&P;ESZ9^9;1581.9433405462798;1583.9997200047428;1552.8602596337298;1558.1480925269207;1558.1480925269207;64032;20256;24300000;1.0;1.0
Bar;0;1999/10/13 13:30:00.000;E-MINI S&P;ESZ9^9;1553.4477966218622;1553.4477966218622;1515.257892393261;1515.257892393261;1515.257892393261;71701;21934;24300000;1.0;1.0
Bar;0;1999/10/14 13:30:00.000;E-MINI S&P;ESZ9^9;1516.726734863592;1527.5961691440398;1499.100625219622;1515.8454293813934;1515.8454293813934;75771;21426;24300000;1.0;1.0
Bar;0;1999/10/15 13:30:00.000;E-MINI S&P;ESZ9^9;1515.8454293813934;1516.4329663695257;1471.780155271469;1477.3617566587263;1477.3617566587263;64342;22785;24300000;1.0;1.0
Bar;0;1999/10/18 13:30:00.000;E-MINI S&P;ESZ9^9;1474.1303032239985;1488.5249594332404;1458.854341532558;1487.3498854569757;1487.3498854569757;70481;22983;24300000;1.0;1.0
Bar;0;1999/10/19 13:30:00.000;E-MINI S&P;ESZ9^9;1486.7623484688434;1514.6703554051287;1482.355821057851;1497.6317827492915;1497.6317827492915;70308;24212;24300000;1.0;1.0
Bar;0;1999/10/20 13:30:00.000;E-MINI S&P;ESZ9^9;1498.8068567255561;1527.3024006499736;1498.51308823149;1518.783114322055;1518.783114322055;64950;24829;24300000;1.0;1.0
Bar;0;1999/10/21 13:30:00.000;E-MINI S&P;ESZ9^9;1517.9018088398566;1523.4834102271136;1495.281634796762;1522.8958732389813;1522.8958732389813;65480;25058;24300000;1.0;1.0
Bar;0;1999/10/22 13:30:00.000;E-MINI S&P;ESZ9^9;1522.602104744915;1548.7475007168034;1519.6644198042536;1536.1154554719585;1536.1154554719585;44308;26465;24300000;1.0;1.0
Bar;0;1999/10/25 13:30:00.000;E-MINI S&P;ESZ9^9;1534.9403814956938;1542.2845938473479;1520.2519567923857;1528.7712431203045;1528.7712431203045;60338;26702;24300000;1.0;1.0
Bar;0;1999/10/26 13:30:00.000;E-MINI S&P;ESZ9^9;1528.4774746262383;1541.9908253532817;1509.3825225119379;1510.5575964882025;1510.5575964882025;64314;26425;24300000;1.0;1.0
Bar;0;1999/10/27 13:30:00.000;E-MINI S&P;ESZ9^9;1509.9700595000702;1537.5842979422894;1500.2756991958868;1534.0590760134953;1534.0590760134953;55093;28008;24300000;1.0;1.0
Bar;0;1999/10/28 13:30:00.000;E-MINI S&P;ESZ9^9;1534.0590760134953;1591.3439323563969;1531.4151595669;1586.6436364513384;1586.6436364513384;62942;31168;24300000;1.0;1.0
Bar;0;1999/10/29 13:30:00.000;E-MINI S&P;ESZ9^9;1586.3498679572722;1625.1273091740054;1583.7059515106766;1617.195559834219;1617.195559834219;61144;30336;24300000;1.0;1.0
Bar;0;1999/11/01 14:30:00.000;E-MINI S&P;ESZ9^9;1615.7267173638884;1618.0768653164175;1600.1569871783818;1601.0382926605803;1601.0382926605803;47191;28280;24300000;1.0;1.0
Bar;0;1999/11/02 14:30:00.000;E-MINI S&P;ESZ9^9;1600.744524166514;1619.2519392926822;1588.7000159098016;1589.287552897934;1589.287552897934;68806;27928;24300000;1.0;1.0
Bar;0;1999/11/03 14:30:00.000;E-MINI S&P;ESZ9^9;1588.9937844038677;1607.5011995300358;1588.9937844038677;1598.688144708051;1598.688144708051;59111;28536;24300000;1.0;1.0
Bar;0;1999/11/04 14:30:00.000;E-MINI S&P;ESZ9^9;1598.688144708051;1618.6644023045499;1598.3943762139847;1608.0887365181682;1608.0887365181682;55355;28576;24300000;1.0;1.0
Bar;0;1999/11/05 14:30:00.000;E-MINI S&P;ESZ9^9;1608.3825050122343;1638.934428395115;1606.3261255537711;1626.8899201384024;1626.8899201384024;52128;28611;24300000;1.0;1.0
Bar;0;1999/11/08 14:30:00.000;E-MINI S&P;ESZ9^9;1617.7830968223514;1631.0026790553288;1601.0382926605803;1625.4210776680716;1625.4210776680716;56475;28587;24300000;1.0;1.0
Bar;0;1999/11/09 14:30:00.000;E-MINI S&P;ESZ9^9;1623.952235197741;1640.1095023713797;1605.1510515775065;1612.2014954350943;1612.2014954350943;64052;28365;24300000;1.0;1.0
Bar;0;1999/11/10 14:30:00.000;E-MINI S&P;ESZ9^9;1612.7890324232267;1628.9462995968656;1599.5694501902494;1621.6020872452116;1621.6020872452116;65729;29098;24300000;1.0;1.0
Bar;0;1999/11/11 14:30:00.000;E-MINI S&P;ESZ9^9;1622.48339272741;1631.590216043461;1618.6644023045499;1631.0026790553288;1631.0026790553288;33980;29574;24300000;1.0;1.0
Bar;0;1999/11/12 14:30:00.000;E-MINI S&P;ESZ9^9;1631.2964475493948;1648.9225571933646;1614.5516433876237;1646.8661777349014;1646.8661777349014;58918;28376;24300000;1.0;1.0
Bar;0;1999/11/15 14:30:00.000;E-MINI S&P;ESZ9^9;1647.4537147230337;1651.8602421340263;1641.8721133357767;1648.6287886992984;1648.6287886992984;41828;28259;24300000;1.0;1.0
Bar;0;1999/11/16 14:30:00.000;E-MINI S&P;ESZ9^9;1647.7474832171;1683.2934709991055;1646.278640746769;1681.5308600347084;1681.5308600347084;56115;30929;24300000;1.0;1.0
