Type;InternalType;Date;Symbol;Raw Symbol;Open;High;Low;Close;Settlement Price;Volume;Open Interest;Duration (ms)
Bar;1;1999/03/01 08:00:00.000;CAC 40;FCEH9^9;4075.6039476426895;4075.6039476426895;4046.3828232155515;4056.288289123056;4056.288289123056;579;0;3600000
Bar;1;1999/03/01 09:00:00.000;CAC 40;FCEH9^9;4061.2410220768083;4083.033047073318;4052.8213760554295;4058.269382304557;4058.269382304557;5103;0;3600000
Bar;1;1999/03/01 10:00:00.000;CAC 40;FCEH9^9;4058.269382304557;4061.7362953721836;4011.713692539286;4021.6191584467906;4021.6191584467906;5769;0;3600000
Bar;1;1999/03/01 11:00:00.000;CAC 40;FCEH9^9;4020.62861185604;4033.505717535796;4016.171152197663;4021.6191584467906;4021.6191584467906;4117;0;3600000
Bar;1;1999/03/01 12:00:00.000;CAC 40;FCEH9^9;4021.6191584467906;4040.9348169664245;4021.6191584467906;4036.4773573080474;4036.4773573080474;1481;0;3600000
Bar;1;1999/03/01 13:00:00.000;CAC 40;FCEH9^9;4036.4773573080474;4039.448997080299;4021.1238851514154;4025.5813448097924;4025.5813448097924;3516;0;3600000
Bar;1;1999/03/01 14:00:00.000;CAC 40;FCEH9^9;4026.571891400543;4036.4773573080474;4014.6853323115374;4029.5435311727942;4029.5435311727942;6453;0;3600000
Bar;1;1999/03/01 15:00:00.000;CAC 40;FCEH9^9;4028.552984582044;4032.5151709450456;3967.1390959555165;3991.9027607242774;3991.9027607242774;14380;0;3600000
Bar;1;1999/03/01 16:00:00.000;CAC 40;FCEH9^9;3992.3980340196526;3999.331860154906;3977.0445618630206;3979.0256550445215;3979.0256550445215;1494;0;1800000
Bar;1;1999/03/02 08:00:00.000;CAC 40;FCEH9^9;4021.6191584467906;4031.524624354295;4001.808226631782;4007.2562328809095;4007.2562328809095;1020;0;3600000
Bar;1;1999/03/02 09:00:00.000;CAC 40;FCEH9^9;4020.62861185604;4023.6002516282915;3962.6816362971394;3976.0540152722706;3976.0540152722706;8039;0;3600000
Bar;1;1999/03/02 10:00:00.000;CAC 40;FCEH9^9;3974.0729220907697;3984.9689345890242;3956.2430834572615;3977.0445618630206;3977.0445618630206;6932;0;3600000
Bar;1;1999/03/02 11:00:00.000;CAC 40;FCEH9^9;3976.5492885676454;4006.7609595855342;3974.0729220907697;4001.808226631782;4001.808226631782;2708;0;3600000
Bar;1;1999/03/02 12:00:00.000;CAC 40;FCEH9^9;4000.8176800410315;4002.7987732225324;3986.45475447515;4000.8176800410315;4000.8176800410315;1085;0;3600000
Bar;1;1999/03/02 13:00:00.000;CAC 40;FCEH9^9;4000.8176800410315;4030.5340777635447;3996.8554936780297;4026.0766181051677;4026.0766181051677;5636;0;3600000
Bar;1;1999/03/02 14:00:00.000;CAC 40;FCEH9^9;4025.5813448097924;4029.5435311727942;3994.3791272011536;4010.7231459485356;4010.7231459485356;6281;0;3600000
Bar;1;1999/03/02 15:00:00.000;CAC 40;FCEH9^9;4009.732599357785;4031.524624354295;3996.8554936780297;4003.789319813283;4003.789319813283;10304;0;3600000
Bar;1;1999/03/02 16:00:00.000;CAC 40;FCEH9^9;4003.789319813283;4025.5813448097924;4000.8176800410315;4013.694785720787;4013.694785720787;1086;0;1800000
Bar;1;1999/03/03 08:00:00.000;CAC 40;FCEH9^9;4025.5813448097924;4025.5813448097924;3996.8554936780297;3996.8554936780297;3996.8554936780297;941;0;3600000
Bar;1;1999/03/03 09:00:00.000;CAC 40;FCEH9^9;3997.84604026878;4041.4300902617993;3993.8838539057783;4028.0577112866686;4028.0577112866686;6008;0;3600000
Bar;1;1999/03/03 10:00:00.000;CAC 40;FCEH9^9;4027.067164695918;4039.448997080299;4021.6191584467906;4037.963177194173;4037.963177194173;4860;0;3600000
Bar;1;1999/03/03 11:00:00.000;CAC 40;FCEH9^9;4036.4773573080474;4057.2788357138065;4033.505717535796;4048.3639163970524;4048.3639163970524;8716;0;3600000
Bar;1;1999/03/03 12:00:00.000;CAC 40;FCEH9^9;4048.3639163970524;4048.3639163970524;4021.6191584467906;4023.6002516282915;4023.6002516282915;2748;0;3600000
Bar;1;1999/03/03 13:00:00.000;CAC 40;FCEH9^9;4024.590798219042;4030.5340777635447;4016.6664254930383;4026.571891400543;4026.571891400543;2353;0;3600000
Bar;1;1999/03/03 14:00:00.000;CAC 40;FCEH9^9;4026.571891400543;4036.9726306034227;4013.694785720787;4021.1238851514154;4021.1238851514154;5347;0;3600000
Bar;1;1999/03/03 15:00:00.000;CAC 40;FCEH9^9;4019.1427919699145;4020.62861185604;3972.587102204644;3972.587102204644;3972.587102204644;3827;0;3600000
Bar;1;1999/03/03 16:00:00.000;CAC 40;FCEH9^9;3974.0729220907697;3979.5209283398967;3955.252536866511;3963.1769095925147;3963.1769095925147;4333;0;1800000
Bar;1;1999/03/04 08:00:00.000;CAC 40;FCEH9^9;3981.0067482260224;3993.8838539057783;3966.6438226601413;3991.9027607242774;3991.9027607242774;1371;0;3600000
Bar;1;1999/03/04 09:00:00.000;CAC 40;FCEH9^9;3996.3602203826545;4005.770412994784;3980.016201635272;4001.808226631782;4001.808226631782;7957;0;3600000
Bar;1;1999/03/04 10:00:00.000;CAC 40;FCEH9^9;4001.808226631782;4022.114431742166;3988.931120952026;4002.303499927157;4002.303499927157;5184;0;3600000
Bar;1;1999/03/04 11:00:00.000;CAC 40;FCEH9^9;4000.8176800410315;4011.218419243911;3990.912214133527;3991.407487428902;3991.407487428902;3408;0;3600000
Bar;1;1999/03/04 12:00:00.000;CAC 40;FCEH9^9;3991.407487428902;4004.7798664040333;3988.931120952026;3998.3413135641554;3998.3413135641554;2461;0;3600000
Bar;1;1999/03/04 13:00:00.000;CAC 40;FCEH9^9;3998.3413135641554;4016.171152197663;3995.8649470872792;3997.84604026878;3997.84604026878;3191;0;3600000
Bar;1;1999/03/04 14:00:00.000;CAC 40;FCEH9^9;3998.8365868595306;4010.7231459485356;3985.4642078843995;3999.827133450281;3999.827133450281;5232;0;3600000
Bar;1;1999/03/04 15:00:00.000;CAC 40;FCEH9^9;3999.827133450281;4072.1370345750634;3999.827133450281;4069.165394802812;4069.165394802812;13276;0;3600000
Bar;1;1999/03/04 16:00:00.000;CAC 40;FCEH9^9;4061.2410220768083;4086.0046868455693;4056.288289123056;4061.2410220768083;4061.2410220768083;1707;0;1800000
Bar;1;1999/03/05 08:00:00.000;CAC 40;FCEH9^9;4098.881792525325;4129.588736838588;4092.443239685447;4115.721084568083;4115.721084568083;2091;0;3600000
