Type;InternalType;Date;Symbol;Raw Symbol;Open;High;Low;Close;Settlement Price;Volume;Open Interest;Duration (ms)
Bar;0;1999/03/01 08:00:00.000;CAC 40;FCEH9^9;4075.6039476426895;4083.033047073318;4000.3224067456563;3991.9027607242774;3991.9027607242774;56590;149216;30600000
Bar;0;1999/03/02 08:00:00.000;CAC 40;FCEH9^9;4012.7042391300365;4031.524624354295;3956.2430834572615;4006.7609595855342;4006.7609595855342;56713;145435;30600000
Bar;0;1999/03/03 08:00:00.000;CAC 40;FCEH9^9;4025.5813448097924;4057.2788357138065;3993.8838539057783;3963.1769095925147;3963.1769095925147;38670;142044;30600000
Bar;0;1999/03/04 08:00:00.000;CAC 40;FCEH9^9;3972.0918289092688;4045.392276624801;3966.6438226601413;4071.146487984313;4071.146487984313;57869;143438;30600000
Bar;0;1999/03/05 08:00:00.000;CAC 40;FCEH9^9;4093.4337862761977;4185.554619215989;4081.051953891817;4160.2956811518525;4160.2956811518525;73818;144885;30600000
Bar;0;1999/03/08 08:00:00.000;CAC 40;FCEH9^9;4200.412818077245;4200.412818077245;4113.244718091207;4154.35240160735;4154.35240160735;48444;143316;30600000
Bar;0;1999/03/09 08:00:00.000;CAC 40;FCEH9^9;4173.172786831608;4197.441178304994;4097.3959726391995;4132.56037661084;4132.56037661084;49585;141808;30600000
Bar;0;1999/03/10 08:00:00.000;CAC 40;FCEH9^9;4168.220053877856;4197.936451600369;4120.673817521835;4125.626550475587;4125.626550475587;45049;139691;30600000
Bar;0;1999/03/11 08:00:00.000;CAC 40;FCEH9^9;4150.390215244348;4184.068799329863;4131.569830020089;4165.248414105605;4165.248414105605;42156;139397;30600000
Bar;0;1999/03/12 08:00:00.000;CAC 40;FCEH9^9;4220.223749892254;4257.369247045395;4124.636003884836;4135.532016383091;4135.532016383091;56680;137777;30600000
Bar;0;1999/03/15 08:00:00.000;CAC 40;FCEH9^9;4170.201147059357;4173.172786831608;4130.084010133964;4157.324041379601;4157.324041379601;43253;134364;30600000
Bar;0;1999/03/16 08:00:00.000;CAC 40;FCEH9^9;4165.248414105605;4189.021532283615;4135.532016383091;4155.3429481981;4155.3429481981;48193;130629;30600000
Bar;0;1999/03/17 08:00:00.000;CAC 40;FCEH9^9;4151.380761835098;4189.51680557899;4127.112370361712;4133.055649906215;4133.055649906215;49700;136224;30600000
Bar;0;1999/03/18 08:00:00.000;CAC 40;FCEH9^9;4115.721084568083;4127.6076436570875;4063.2221152583093;4115.721084568083;4115.721084568083;66393;138772;30600000
Bar;0;1999/03/19 08:00:00.000;CAC 40;FCEH9^9;4147.418575472097;4217.747383415378;4147.418575472097;4191.993172055866;4191.993172055866;61431;138707;30600000
Bar;0;1999/03/22 08:00:00.000;CAC 40;FCEH9^9;4174.163333422359;4190.012078874365;4137.513109564592;4162.276774333353;4162.276774333353;57517;135637;30600000
Bar;0;1999/03/23 08:00:00.000;CAC 40;FCEH9^9;4144.446935699845;4155.3429481981;4044.4017300340506;4046.3828232155515;4046.3828232155515;76715;134298;30600000
Bar;0;1999/03/24 08:00:00.000;CAC 40;FCEH9^9;4004.284593108658;4018.152245379164;3964.167456183265;4008.7420527670347;4008.7420527670347;92727;140275;30600000
Bar;0;1999/03/25 08:00:00.000;CAC 40;FCEH9^9;4011.713692539286;4109.77780502358;4006.7609595855342;4108.78725843283;4108.78725843283;87945;123769;30600000
Bar;0;1999/03/26 08:00:00.000;CAC 40;FCEH9^9;4148.409122062847;4149.3996686535975;4013.1995124254117;4148.409122062847;4148.409122062847;116415;104155;30600000
Bar;0;1999/03/29 07:00:00.000;CAC 40;FCEH9^9;4069.165394802812;4129.588736838588;4049.354462987803;4117.702177749584;4117.702177749584;201958;87931;30600000
Bar;0;1999/03/30 07:00:00.000;CAC 40;FCEH9^9;4139.494202746093;4150.390215244348;4098.38651922995;4112.749444795832;4112.749444795832;108438;77557;30600000
Bar;0;1999/03/31 07:00:00.000;CAC 40;FCEJ9^9;4106.3163148737585;4164.709340320263;4097.408904212427;4149.863655884711;4149.863655884711;65314;105021;30600000
Bar;0;1999/04/01 07:00:00.000;CAC 40;FCEJ9^9;4107.306027169461;4202.8132637048475;4095.4294796210197;4190.441860008555;4190.441860008555;52808;109180;30600000
Bar;0;1999/04/02 07:00:00.000;CAC 40;FCEJ9^9;4211.225818218328;4213.205242809735;4180.544737051519;4205.287544444107;4205.287544444107;3990;109661;30600000
Bar;0;1999/04/05 07:00:00.000;CAC 40;FCEJ9^9;4192.421284599961;4214.194955105438;4192.421284599961;4214.194955105438;4214.194955105438;101;109602;30600000
Bar;0;1999/04/06 07:00:00.000;CAC 40;FCEJ9^9;4231.514920280249;4290.897658022458;4208.256681331217;4266.649706777723;4266.649706777723;53057;108044;30600000
Bar;0;1999/04/07 07:00:00.000;CAC 40;FCEJ9^9;4295.351363353124;4312.176472380083;4251.80402234217;4272.5879805519435;4272.5879805519435;55114;107260;30600000
Bar;0;1999/04/08 07:00:00.000;CAC 40;FCEJ9^9;4290.402801874607;4312.671328527935;4253.288590785725;4294.36165105742;4294.36165105742;53041;110140;30600000
Bar;0;1999/04/09 07:00:00.000;CAC 40;FCEJ9^9;4380.4666207836235;4382.446045375031;4301.289637127345;4331.970718294153;4331.970718294153;76543;109348;30600000
Bar;0;1999/04/12 07:00:00.000;CAC 40;FCEJ9^9;4294.36165105742;4330.981005998449;4271.59826825624;4318.114746154304;4318.114746154304;49922;112610;30600000
Bar;0;1999/04/13 07:00:00.000;CAC 40;FCEJ9^9;4362.65179946096;4377.497483896513;4294.856507205272;4308.712479345121;4308.712479345121;61058;114585;30600000
Bar;0;1999/04/14 07:00:00.000;CAC 40;FCEJ9^9;4289.413089578903;4322.56845148497;4267.639419073426;4295.351363353124;4295.351363353124;70066;107169;30600000
Bar;0;1999/04/15 07:00:00.000;CAC 40;FCEJ9^9;4253.783446933578;4314.15589697149;4251.309166194319;4267.639419073426;4267.639419073426;44860;107460;30600000
Bar;0;1999/04/16 07:00:00.000;CAC 40;FCEJ9^9;4275.557117439054;4299.310212535937;4224.092078062473;4245.86574856795;4245.86574856795;52293;108004;30600000
Bar;0;1999/04/19 07:00:00.000;CAC 40;FCEJ9^9;4250.319453898615;4343.352409694743;4250.319453898615;4328.506725259191;4328.506725259191;38073;110596;30600000
