Type;InternalType;Date;Symbol;Raw Symbol;Open;High;Low;Close;Settlement Price;Volume;Open Interest;Duration (ms)
Bar;1;1999/03/01 14:30:00.000;E-MINI S&P;ESH9^9;1497.6890948966402;1501.022006093052;1491.6292563577097;1494.6591756271748;1494.6591756271748;3377;0;1800000
Bar;1;1999/03/01 15:00:00.000;E-MINI S&P;ESH9^9;1494.6591756271748;1495.5681514080145;1481.0245389145816;1489.5083128690842;1489.5083128690842;7700;0;3600000
Bar;1;1999/03/01 16:00:00.000;E-MINI S&P;ESH9^9;1489.8113047960305;1493.4472079193888;1484.3574501109933;1491.6292563577097;1491.6292563577097;3451;0;3600000
Bar;1;1999/03/01 17:00:00.000;E-MINI S&P;ESH9^9;1491.3262644307633;1497.083111042747;1488.5993370882445;1496.1741352619076;1496.1741352619076;2341;0;3600000
Bar;1;1999/03/01 18:00:00.000;E-MINI S&P;ESH9^9;1496.1741352619076;1503.445941508624;1495.265159481068;1499.2040545313728;1499.2040545313728;4018;0;3600000
Bar;1;1999/03/01 19:00:00.000;E-MINI S&P;ESH9^9;1499.2040545313728;1499.8100383852657;1491.6292563577097;1497.9920868235865;1497.9920868235865;4407;0;3600000
Bar;1;1999/03/01 20:00:00.000;E-MINI S&P;ESH9^9;1497.9920868235865;1504.65790921641;1496.7801191158005;1498.5980706774797;1498.5980706774797;5067;0;3600000
Bar;1;1999/03/01 21:00:00.000;E-MINI S&P;ESH9^9;1498.9010626044262;1502.8399576547308;1497.083111042747;1502.5369657277845;1502.5369657277845;872;0;900000
Bar;1;1999/03/02 14:30:00.000;E-MINI S&P;ESH9^9;1506.475860778089;1507.0818446319822;1500.4160222391588;1504.051925362517;1504.051925362517;3647;0;1800000
Bar;1;1999/03/02 15:00:00.000;E-MINI S&P;ESH9^9;1504.051925362517;1508.5968042667148;1500.4160222391588;1503.445941508624;1503.445941508624;6393;0;3600000
Bar;1;1999/03/02 16:00:00.000;E-MINI S&P;ESH9^9;1503.1429495816774;1512.5356993170194;1493.7501998463354;1511.3237316092334;1511.3237316092334;5348;0;3600000
Bar;1;1999/03/02 17:00:00.000;E-MINI S&P;ESH9^9;1511.0207396822868;1516.4745943673242;1509.8087719745008;1513.444675097859;1513.444675097859;3527;0;3600000
Bar;1;1999/03/02 18:00:00.000;E-MINI S&P;ESH9^9;1513.1416831709125;1513.1416831709125;1507.0818446319822;1511.9297154631265;1511.9297154631265;2934;0;3600000
Bar;1;1999/03/02 19:00:00.000;E-MINI S&P;ESH9^9;1512.232707390073;1512.232707390073;1493.7501998463354;1497.083111042747;1497.083111042747;6550;0;3600000
Bar;1;1999/03/02 20:00:00.000;E-MINI S&P;ESH9^9;1496.7801191158005;1497.9920868235865;1479.509579279849;1487.084377453512;1487.084377453512;7261;0;3600000
Bar;1;1999/03/02 21:00:00.000;E-MINI S&P;ESH9^9;1486.7813855265654;1491.3262644307633;1486.1754016726725;1489.8113047960305;1489.8113047960305;1242;0;900000
Bar;1;1999/03/03 14:30:00.000;E-MINI S&P;ESH9^9;1491.0232725038168;1494.3561837002285;1489.5083128690842;1491.0232725038168;1491.0232725038168;3031;0;1800000
Bar;1;1999/03/03 15:00:00.000;E-MINI S&P;ESH9^9;1491.0232725038168;1494.053191773282;1479.509579279849;1480.4185550606885;1480.4185550606885;7302;0;3600000
