Creation Date;Order ID;Instrument ID;Side;Type;Quantity;Average Price;Stop/Limit Price;Status;Processed Date;Comment;ExternalId;Tag
1999/03/03 08:00:00.000;0;CAC 40;BUY;Market;1;4025.5813448097924;0.0;Filled;1999/03/03 08:00:00.000;Enter in pos by buying at open;-1;
1999/03/08 16:29:59.999;2;CAC 40;SELL;Market;1;4154.35240160735;0.0;Filled;1999/03/08 16:29:59.999;Sell at Close;-1;
1999/03/09 08:00:00.000;3;CAC 40;BUY;Market;1;4173.172786831608;0.0;Filled;1999/03/09 08:00:00.000;Enter in pos by buying at open;-1;
1999/03/09 08:00:00.000;4;CAC 40;SELL;Stop;1;3964.514147490028;3964.514147490028;Filled;1999/03/24 16:29:59.999;security stop;-1;
1999/03/26 08:00:00.000;5;CAC 40;BUY;Market;1;4148.409122062847;0.0;Filled;1999/03/26 08:00:00.000;Enter in pos by buying at open;-1;
1999/03/03 08:00:00.000;1;CAC 40;SELL;Stop;1;3824.302277569303;3824.302277569303;Filled;2001/09/11 15:29:59.999;security stop;-1;
1999/03/26 08:00:00.000;6;CAC 40;SELL;Stop;1;3940.9886659597046;3940.9886659597046;Filled;2001/09/11 15:29:59.999;security stop;-1;
